,state,stateabbrv,county,population,revenue_per_person,state_funding,funding,buildvalue,agrivalue,area,risk_score,resl_score,resl_value,drought_freq,drought_score,drought_loss,hurricane_freq,hurricane_score,hurricane_loss,storm_freq,storm_score,storm_loss
0,Alabama,AL,Autauga,54571,3756,204968676,54697779694,5075584000.0,21460000.0,594.4483121966857,5.74877740065178,55.5298,2.77649,31.94394880100792,4.191693529533375,64171.944926826574,0.056426184756458,2.946096956632241,54633.58312040448,65.74074074074075,7.631697269970926,221907.67693694134
1,Alabama,AL,Baldwin,182265,3756,684587340,54697779694,23142949000.0,120383000.0,1589.815852738394,13.557904620457986,54.759202,2.7379601,18.006074576644384,12.636110007028249,722709.2176903246,0.208845412419681,12.704111890210738,1800935.9710327454,108.66666666666667,23.224605591839293,2134848.441757632
2,Alabama,AL,Barbour,27457,3756,103128492,54697779694,2206426000.0,105565000.0,885.0016359709122,9.4196394570524,50.781998,2.5390999,53.43991452286568,18.092327786747493,1634837.171212831,0.073180113907034,7.311136205005244,264537.7944871093,62.48148148148148,12.471688756809119,248399.5566557837
3,Alabama,AL,Bibb,22915,3756,86068740,54697779694,1643641000.0,4199000.0,622.4604254258261,4.34631394853192,51.8076,2.59038,36.98939852368824,2.374610291259284,16522.576739453874,0.043792323324705,1.884829636823729,20260.911951822527,70.77777777777777,5.382791287803499,109581.59756514727
4,Alabama,AL,Blount,57322,3756,215301432,54697779694,4794278000.0,242855000.0,644.8210215954298,9.362944865505217,53.357400000000005,2.66787,34.51729022980461,11.94150320360612,866875.5697650001,0.012191639551067,5.013860312268234,157339.72932941673,77.07407407407408,13.540158141093913,641162.4350577325
5,Alabama,AL,Bullock,10914,3756,40992984,54697779694,752991000.0,0.0,622.8053708831358,5.650481915009467,49.7898,2.48949,52.60423861184099,0.0,0.0,0.069793032627314,2.324743410584149,6154.996733951461,60.370370370370374,10.20872275195905,106190.13947605074
6,Alabama,AL,Butler,20947,3756,78676932,54697779694,1750615000.0,132029000.0,776.8316093047157,13.801388325542518,52.902598,2.6451299,25.255538129754825,26.70381263932692,1991272.9711840777,0.071139048613779,14.28059267496332,746778.181431465,71.66666666666667,18.549560883576824,305498.2798388254
7,Alabama,AL,Calhoun,118572,3756,445356432,54697779694,11487148000.0,86807000.0,605.8882770039564,16.60768730650263,54.9294,2.74647,35.93885835669925,10.768308016986824,321728.7928884973,0.014821876577557,5.081476894112738,82900.91590665985,74.96296296296296,16.448781853475218,661691.8191590016
8,Alabama,AL,Chambers,34215,3756,128511540,54697779694,3180368000.0,9059000.0,596.5311120224442,8.371430920833784,53.372202,2.6686101,72.37087868377311,7.185786757580901,61890.81450070856,0.068116107925725,4.52996498993414,38021.539904316174,51.74074074074074,11.968981764903893,151820.90838416677
9,Alabama,AL,Cherokee,25989,3756,97614684,54697779694,2806318000.0,152078000.0,553.758589990806,9.17707250669178,51.3446,2.56723,37.55215108687434,11.37528999586664,506016.93645255786,0.00598427734052,3.994752319060548,53738.945085589534,66.85185185185185,10.201971389734132,199242.65485545158
10,Alabama,AL,Chilton,43643,3756,163923108,54697779694,3660172000.0,14491000.0,692.8518941783097,7.671282500587504,51.73220200000001,2.5866101,36.15839229467261,4.776980120352819,50374.66450238719,0.045927734433549,3.532716930492553,49959.75806929046,69.25925925925925,10.850420640779532,280326.98244908877
11,Alabama,AL,Choctaw,13859,3756,52054404,54697779694,1281893000.0,8261000.0,913.4670758053744,11.163399027995542,48.994998,2.4497499,15.038774331944229,6.46850537976778,46842.69496743091,0.091764171766191,16.133960636867023,1782358.098620442,80.66666666666667,11.852999074367371,148580.06113191368
12,Alabama,AL,Clarke,25833,3756,97028748,54697779694,2225429000.0,2878000.0,1238.4198881565055,9.961703798656876,51.3058,2.56529,16.355820909865,4.973548361407814,16453.904506009596,0.102738920395971,12.551993699375553,648559.7865848709,85.88888888888889,15.514200853043498,235134.52512054925
13,Alabama,AL,Clay,13932,3756,52328592,54697779694,1245694000.0,81329000.0,603.961409876326,7.778923672943241,52.906198,2.6453099,57.87963686440901,12.198993630387552,400433.74085248535,0.039828011997461,7.189984097566752,201040.8829149754,68.22222222222223,9.234880439440124,97169.63545916634
14,Alabama,AL,Cleburne,14972,3756,56234832,54697779694,1078738000.0,117455000.0,560.1042477896762,7.201630822686012,50.686202,2.5343101,45.45936470742611,11.452581695170927,552943.2961144559,0.021137130139029,5.925544434724182,187800.66335850957,59.44444444444444,8.857735710652971,156108.56619002504
15,Alabama,AL,Coffee,49948,3756,187604688,54697779694,4532392000.0,199534000.0,678.9858215465537,12.770013039071126,54.866,2.7433,34.53709455269389,24.706924635778677,4420058.909346707,0.09047628008313,9.24421575568987,567706.8679507737,68.14814814814815,17.21019293745778,655939.2273000765
16,Alabama,AL,Colbert,54428,3756,204431568,54697779694,5841432000.0,60191000.0,592.6184860152262,11.161867026528585,55.18839800000001,2.7594199,17.487237310269116,0.945063892907925,259.19797123329994,0.01700839182658,4.458655561535911,66742.39688230316,76.92592592592592,19.586516278885522,1226283.7714591864
17,Alabama,AL,Conecuh,13228,3756,49684368,54697779694,1116217000.0,21027000.0,850.1767653070356,10.806502816312346,49.4354,2.47177,21.167041953275948,13.28236186164586,184254.01249247987,0.099981139008962,15.365700065923944,699503.7195735831,84.4074074074074,17.599885693915777,209094.05639257256
