,state,stateabbrv,county,stcofips,population,area,risk_score,avln_afreq,avln_ealt,avln_risks,cfld_afreq,cfld_ealt,cfld_risks,cwav_afreq,cwav_ealt,cwav_risks,drgt_afreq,drgt_ealt,drgt_risks,erqk_afreq,erqk_ealt,erqk_risks,hail_afreq,hail_ealt,hail_risks,hwav_afreq,hwav_ealt,hwav_risks,hrcn_afreq,hrcn_ealt,hrcn_risks,istm_afreq,istm_ealt,istm_risks,lnds_afreq,lnds_ealt,lnds_risks,ltng_afreq,ltng_ealt,ltng_risks,rfld_afreq,rfld_ealt,rfld_risks,swnd_afreq,swnd_ealt,swnd_risks,trnd_afreq,trnd_ealt,trnd_risks,tsun_afreq,tsun_ealt,tsun_risks,vlcn_afreq,vlcn_ealt,vlcn_risks,wfir_afreq,wfir_ealt,wfir_risks,wntw_afreq,wntw_ealt,wntw_risks,funding,revenue_per_person,state_funding,amount
1761,Nevada,NV,Storey,32029,4010,262.92086348337995,9.046470928884744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.722222222,0.0,0.0,0.00702484763421,218537.928,4.262995575075425,0.218733423372485,823.9295994146166,2.025656251884153,0.164744645,243.46355113012925,1.303014203457101,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1826726.1735943488,44.57837370314809,6.390215648604203,11222.115013473003,5.778996845407357,0.541666666,305251.9436332879,8.097394186854144,0.243217359587904,3222.1482566691875,3.124116029561601,0.01043894761341,688.7950947049616,1.542733145895989,0.0,0.0,0.0,0.0,0.0,0.0,0.005704717514493,489561.2183225201,13.921245527070344,3.047775947000002,7872.975751897982,8.204158419574835,25838824405,4800,19248000,2000000
1762,Nevada,NV,Washoe,32031,421407,6302.381283225888,33.84260962472075,0.05,68386.52938777611,13.146217205881545,0.0,0.0,0.0,1.33605458e-07,0.0,0.0,118.6855345772731,1530055.0025826532,19.37518445370924,0.004377167542759,50415782.684,28.717427079301668,0.091862202054738,11796.475931908188,5.170086673698257,0.113307693392355,161.35205742291407,1.194099957764049,0.0,0.0,0.0,0.01489,28553.79901074293,10.660067441816617,0.011465388797631,12804.890097180716,8.967465270306587,3.897089898395787,302290.74971907446,21.94821315547236,1.375,34919995.20124102,41.31697736045929,0.123153600366718,49390.85758174872,8.157157589508488,0.104343248274366,33182.22023361338,6.134986000632486,0.0,0.0,0.0,0.0,0.0,0.0,0.006651155488243,6056471.322349377,33.84233556145374,2.655347994123259,3959.592887719901,6.857764912804765,25838824405,4800,2022753600,2000000
1763,Nevada,NV,White Pine,32033,10030,8874.611547458622,6.476827405315391,0.0,0.0,0.0,0.0,0.0,0.0,0.329489457159407,124458.20990809047,18.650555277677235,52.7301035636474,1920230.0783316488,15.158620739532608,0.001281197366149,121611.308,2.64196581594819,0.032377945231144,780.3214599564438,1.516596369566759,0.49423600427127,4877.45904276788,2.698022025612763,0.0,0.0,0.0,0.0,0.0,0.0,0.01,14390.638731509944,6.762431439132635,11.416399420362804,37815.99917047438,7.282132971825473,0.666666666,51565.63430955984,3.412628696647031,0.151504910364029,3283.8756885022603,2.396904144418465,0.097393885125261,54.619229403426814,0.468008627770568,0.0,0.0,0.0,0.0,0.0,0.0,0.001738496426188,118717.9414076253,6.618470812479161,5.530116399734391,41305.48101771376,10.868428249863197,25838824405,4800,48144000,2000000
1764,New Hampshire,NH,Belknap,33001,60088,401.5271467162259,6.976000589668178,0.0,0.0,0.0,0.0,0.0,0.0,0.330087996079768,41530.913662874096,15.053086608512094,0.259261500310151,0.0,0.0,0.000916182217353,318917.172,4.31683898579483,2.033829030745185,14252.498915898412,4.64758116275213,0.082372322,7956.159438104147,3.695727331112769,0.07987361834047,50742.52179796288,3.896156992631497,1.652516065132067,290272.09314854373,19.490515678483973,0.01,105614.03575338647,15.292126422643268,13.730070724288533,268817.7419516641,17.752677061746855,0.958333333,514821.7678598903,8.550779347488916,0.523242555311672,160929.36661402092,10.206684245742156,0.047292817241894,201738.0102924631,9.512050326820011,0.0,0.0,0.0,0.0,0.0,0.0,4.6084931303e-05,2329.7032634728216,2.077320739488246,7.919896837917952,26721.836718811424,10.937987735427898,12554714148,5131,308311528,0
1765,New Hampshire,NH,Carroll,33003,47818,931.8673376602336,8.615813498060684,0.0,0.0,0.0,0.0,0.0,0.0,0.672843748754641,61117.92515252203,20.495070291813988,0.133349997602595,0.0,0.0,0.000740500468435,275822.12,4.91187267897777,1.811427457170676,10638.638087401076,5.046420878313143,3.7719906282e-05,9.386037919994251,0.467431178067511,0.088529040814414,25229.10936883674,3.694632264114301,1.077704937361128,208813.79297245617,20.904162616111822,0.01,115182.68794444654,18.841459865054407,11.410437248496256,101698.64594690807,14.846155255713567,2.5,1135639.5493988595,13.323706220342324,0.462033632496831,115197.02643828366,10.928942678371588,0.101285225396485,85899.46667214848,8.543881897864242,0.0,0.0,0.0,0.0,0.0,0.0,4.7045862985e-05,4990.4462778650495,3.205343879104397,10.034569730213232,28906.07288776769,13.440120859280634,12554714148,5131,245354158,0
1766,New Hampshire,NH,Cheshire,33005,77117,706.6805712869565,7.607799593549363,0.0,0.0,0.0,0.0,0.0,0.0,0.331031961015391,54731.29327422999,14.827664403923528,0.148719769544177,0.0,0.0,0.000539043577808,174501.936,3.138843517329018,2.830733717323333,20491.71333613156,4.712830791229401,0.082769983561665,10256.326689068335,3.613725473405629,0.070799415190552,31737.99648711199,2.993629485612414,1.395351375983233,379702.936840501,19.15117095315493,0.01,97322.5819347028,13.369781827748746,19.799555133791728,417374.1085788487,18.692921283590277,0.958333333,1483348.3098106913,10.931847353851044,0.960395693655325,154754.74424857975,9.051349798280413,0.104201698770945,410305.963407318,10.845630257329608,0.0,0.0,0.0,0.0,0.0,0.0,7.0095070557e-05,44630.42404441785,4.993895743487148,7.516656341259093,11460.890592735264,7.411064021913361,12554714148,5131,395687327,0
1767,New Hampshire,NH,Coos,33007,33055,1794.5490699096197,8.77955043821854,0.033333333,177915.29251208654,31.432038399921872,0.0,0.0,0.0,2.850502760215194,206427.88953755036,33.986143115961795,0.0,0.0,0.0,0.000522705073674,73305.136,3.394508139249386,0.995318696972526,4063.651083939807,4.04680992859414,0.0,0.0,0.0,0.060048471891953,15600.045555426175,3.478818309840532,0.281024907888069,69910.73452645406,16.04280171771286,0.022636541050132,75464.91583253565,18.086438536805986,8.884478320688052,104472.9287929954,16.575552589103243,2.458333333,972928.5176423696,13.985920954901855,0.364153952733953,33999.179158142826,8.042166906542842,0.128049287383021,24389.96289390092,6.172775300749707,0.0,0.0,0.0,0.0,0.0,0.0,3.1494942833e-05,68.32759751640147,0.847512470237821,11.21124191644042,9493.162341845582,10.248563394793962,12554714148,5131,169605205,0
1768,New Hampshire,NH,Grafton,33009,89118,1708.4935240985608,9.299705270961072,0.0,0.0,0.0,0.0,0.0,0.0,1.420481918895765,198410.1209347904,23.65953796257928,0.0,0.0,0.0,0.000630359075736,265770.632,3.77977229524595,1.743182808557802,18375.71078993693,4.72057185800848,0.0,0.0,0.0,0.058832013609753,32949.00493122497,3.148544146182177,0.61066295874856,336756.67070611694,19.112179872970984,0.035076738569672,243456.6859949609,18.851727598349,12.43333677627705,164122.53883562042,13.83061633332424,4.333333333,3282374.7080851486,14.796739852415532,0.64762341905418,326546.82071810355,12.058815550333048,0.156793049237181,122693.3847876768,7.510001831822416,0.0,0.0,0.0,0.0,0.0,0.0,4.5288462307e-05,7385.143371234058,2.847778791785856,9.174198595408736,42512.29466516191,11.916172073142835,12554714148,5131,457264458,0
1769,New Hampshire,NH,Hillsborough,33011,400721,876.4051915437145,8.294798234952461,0.0,0.0,0.0,0.0,0.0,0.0,0.312324452934165,220973.6936679162,16.793610588654552,4.159839327266301,452135.11774884944,6.960567484572554,0.000915861218782,2705414.992,5.760812691318642,2.498812515362824,80662.549404346,5.292767054339374,0.140233069608849,167104.8392072688,6.516142797466054,0.111639238828684,238334.91312687265,4.169690395956963,1.928346508934844,1921569.1432202088,23.386706314824607,0.010692235596212,43706.19513071528,7.282332239015733,14.879885525913329,501131.8101122432,14.19381332090258,1.5,1125546.3175097627,7.092020971562601,0.744364820599776,582992.1418621343,10.017421954860028,0.122331805633192,1896808.74166756,12.882296986313744,0.0,0.0,0.0,0.0,0.0,0.0,0.000116620654743,259183.3210077252,6.384612238363532,7.987656502715849,59457.56111478609,9.125286642149437,12554714148,5131,2056099451,0
1770,New Hampshire,NH,Merrimack,33013,146445,933.0307575812192,6.920352404902477,0.0,0.0,0.0,0.0,0.0,0.0,0.329852933123733,110758.56583853552,15.909197111491313,0.999747500087,124078.6861702844,5.394438319691175,0.000896216189719,755533.944,4.437091945857214,2.13560634124152,35030.55579353327,4.780057008075406,0.082695835127685,19778.42864366528,3.815488190715636,0.083743958401015,105577.516727961,3.790737134503683,1.698179713555109,397373.12555232696,16.493335323397858,0.01,96923.42918029832,11.325507716749748,15.773087775397835,162785.0010677637,11.259996306398394,2.5,1152792.768959612,8.52559248433404,0.577395756429037,376489.5876825518,10.326298108617294,0.101368482863383,491115.0214309344,9.771283267894734,0.0,0.0,0.0,0.0,0.0,0.0,7.2761381716e-05,62142.71284428692,4.730287239919105,8.000935168052642,57789.64293979993,10.780016445984602,12554714148,5131,751409295,0
